,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
30-5-20-0.5,600,200,1570,21010,TL,265051,0.2,0.4,582.907629,583.871,4148,2207,1941,TL,215974,0.0,0.2,583.455900,583.723,3689,1946,1743,TL,136417,0.1,0.2,583.234385,583.661,10297,2230,1553,6514,TL,185413,0.0,0.1,583.461287,583.550,8470,1980,1336,5154
31-5-20-0.5,700,5,2542,64420,49.9,696,0.0,3.1,302.451760,302.452,6936,3887,3049,37.4,522,0.0,2.9,302.451760,302.452,6680,3487,3193,26.0,115,0.0,2.3,302.451760,302.452,10736,3451,2010,5275,22.1,99,0.0,2.3,302.451760,302.452,10551,3313,2147,5091
32-5-20-0.5,700,10,2218,50474,36.6,414,0.0,0.8,357.832329,357.832,6040,3198,2842,26.9,414,0.0,0.8,357.832329,357.832,5592,2891,2701,15.1,81,0.0,0.6,357.832329,357.832,7584,2792,1976,2816,13.9,96,0.0,0.6,357.832329,357.832,7536,2676,2059,2801
33-5-20-0.5,700,70,2268,49250,TL,102632,0.3,0.6,600.307750,602.034,7575,3795,3780,TL,91465,0.2,0.5,600.628059,601.897,7167,3325,3842,TL,83760,0.2,0.4,600.467991,601.394,14212,3837,2993,7382,TL,68008,0.1,0.3,600.674412,601.300,15568,3929,3411,8228
34-5-20-0.5,700,140,2450,58282,TL,124792,0.2,0.5,664.204556,665.882,5256,2939,2317,TL,126083,0.0,0.2,665.408477,665.656,4247,2358,1889,TL,172053,0.1,0.2,664.967674,665.774,9303,2738,1621,4944,2958.8,79569,0.0,0.1,665.470867,665.471,8109,2507,1680,3922
35-5-20-0.5,800,5,3424,143422,13.8,68,0.0,1.3,432.061412,432.061,6152,3191,2961,12.2,55,0.0,1.2,432.061412,432.061,5823,2856,2967,20.9,41,0.0,1.2,432.061412,432.061,7315,2850,2521,1944,16.9,45,0.0,1.2,432.061412,432.061,7136,2706,2480,1950
36-5-20-0.5,800,10,3052,91980,TL,40413,0.5,2.2,453.182826,455.505,12853,5358,7495,3539.8,53410,0.0,1.9,453.182826,453.183,12188,5157,7031,1572.7,2360,0.0,1.9,453.182826,453.183,16964,4468,3060,9436,1045.5,1946,0.0,1.8,453.182826,453.183,15890,4151,2962,8777
37-5-20-0.5,800,80,2762,71842,TL,69109,0.2,0.4,703.743233,705.211,7351,3697,3654,TL,71479,0.1,0.3,704.056712,704.949,6551,3272,3279,TL,81941,0.1,0.3,704.135640,705.095,11766,3572,2770,5424,TL,55909,0.1,0.3,704.043682,704.916,13013,3637,3348,6028
38-5-20-0.5,900,5,4520,224438,81.5,379,0.0,2.0,526.269965,526.270,8352,4464,3888,89.2,391,0.0,2.0,526.271282,526.271,8599,4498,4101,114.1,250,0.0,1.9,526.269965,526.270,13148,4518,3645,4985,120.7,247,0.0,2.0,526.269965,526.270,11956,4142,3417,4397
39-5-20-0.5,900,10,4450,227826,93.0,627,0.0,0.7,637.701181,637.701,7263,3526,3737,83.8,505,0.0,0.7,637.701181,637.701,7098,3758,3340,150.1,336,0.0,0.7,637.701181,637.701,9519,3719,3504,2296,127.9,286,0.0,0.7,637.701181,637.701,9094,3608,3331,2155
40-5-20-0.5,900,90,3552,140956,TL,77847,0.2,0.3,824.557458,826.254,7413,4246,3167,TL,67979,0.0,0.2,825.469363,825.881,6136,3406,2730,TL,69192,0.1,0.2,825.138979,825.861,10299,3833,2358,4108,TL,67150,0.1,0.2,825.405246,825.936,9237,3428,2485,3324
1-5-20-0.8,100,5,114,64,0.0,0,0.0,0.0,14.600000,14.600,229,111,118,0.0,0,0.0,0.0,14.600000,14.600,230,111,119,0.0,0,0.0,0.0,14.600000,14.600,242,111,115,16,0.0,0,0.0,0.0,14.600000,14.600,242,111,115,16
2-5-20-0.8,100,10,124,76,0.1,0,0.0,0.0,26.648000,26.648,244,118,126,0.1,0,0.0,0.0,26.648000,26.648,250,122,128,0.0,0,0.0,0.0,26.648000,26.648,253,116,121,16,0.0,0,0.0,0.0,26.648000,26.648,253,116,121,16
3-5-20-0.8,100,10,116,100,0.0,0,0.0,0.0,25.613333,25.613,265,129,136,0.0,0,0.0,0.0,25.613333,25.613,269,132,137,0.0,0,0.0,0.0,25.613333,25.613,301,129,128,44,0.0,0,0.0,0.0,25.613333,25.613,304,130,128,46
4-5-20-0.8,100,20,106,56,0.0,1,0.0,0.0,35.408000,35.408,268,130,138,0.0,0,0.0,0.0,35.408000,35.408,279,136,143,0.0,0,0.0,0.0,35.408000,35.408,299,130,137,32,0.0,0,0.0,0.0,35.408000,35.408,290,135,143,12
5-5-20-0.8,100,33,130,114,0.0,0,0.0,0.0,62.004444,62.004,356,182,174,0.0,0,0.0,0.0,62.004444,62.004,292,151,141,0.0,0,0.0,0.0,62.004444,62.004,402,179,165,58,0.0,0,0.0,0.0,62.004444,62.004,329,148,131,50
