,,,,,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,r,R,theta,low p_i (%),#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
3-2-20-0.1-50,100,10,2,20,0.1,50,106,110,0.1,14,0.0,0.5,19.477153,19.477,273,139,134,0.1,4,0.0,0.1,19.477153,19.477,275,138,137,0.1,7,0.0,0.2,19.477153,19.477,328,130,124,74,0.0,0,0.0,0.0,19.477153,19.477,315,128,123,64
3-2-20-0.1-90,100,10,2,20,0.1,90,106,110,0.1,44,0.0,1.6,15.730804,15.731,282,142,140,1.1,1968,0.0,1.3,15.730804,15.731,277,137,140,0.1,66,0.0,0.4,15.730804,15.731,360,135,121,104,0.1,16,0.0,0.4,15.730804,15.731,318,121,127,70
3-2-20-0.2-10,100,10,2,20,0.2,10,106,110,0.1,156,0.0,1.5,20.184319,20.184,303,141,162,0.2,199,0.0,1.6,20.184319,20.184,288,134,154,0.0,0,0.0,0.0,20.184319,20.184,334,136,132,66,0.0,0,0.0,0.0,20.184319,20.184,333,132,131,70
3-2-20-0.2-50,100,10,2,20,0.2,50,106,110,0.1,13,0.0,0.4,19.386118,19.386,263,132,131,0.1,26,0.0,0.4,19.386118,19.386,274,134,140,0.1,3,0.0,0.0,19.386118,19.386,367,138,127,102,0.1,0,0.0,0.0,19.386118,19.386,326,130,122,74
3-2-20-0.2-90,100,10,2,20,0.2,90,106,110,0.0,8,0.0,0.7,15.656690,15.657,244,129,115,0.3,530,0.0,1.2,15.656690,15.657,246,130,116,0.1,0,0.0,0.0,15.656690,15.657,324,134,114,76,0.1,0,0.0,0.0,15.656690,15.657,305,130,123,52
4-1-20-0.01-10,100,20,1,20,0.01,10,100,62,0.0,0,0.0,0.0,28.541521,28.542,263,133,130,0.0,0,0.0,0.0,28.541521,28.542,257,127,130,0.0,0,0.0,0.0,28.541521,28.542,328,132,126,70,0.0,0,0.0,0.0,28.541521,28.542,313,127,126,60
4-1-20-0.01-50,100,20,1,20,0.01,50,100,62,0.0,0,0.0,0.0,26.707726,26.708,259,134,125,0.0,2,0.0,0.0,26.707726,26.708,257,132,125,0.0,0,0.0,0.0,26.707726,26.708,300,130,124,46,0.0,0,0.0,0.0,26.707726,26.708,305,131,124,50
4-1-20-0.01-90,100,20,1,20,0.01,90,100,62,0.0,13,0.0,0.0,21.904803,21.905,234,127,107,0.0,8,0.0,0.0,21.904803,21.905,236,129,107,0.0,0,0.0,0.0,21.904803,21.905,273,128,107,38,0.0,2,0.0,0.0,21.904803,21.905,273,128,107,38
4-1-20-0.1-10,100,20,1,20,0.1,10,100,62,0.0,0,0.0,0.0,28.505736,28.506,262,132,130,0.0,0,0.0,0.0,28.505736,28.506,258,128,130,0.0,0,0.0,0.0,28.505736,28.506,305,130,125,50,0.0,0,0.0,0.0,28.505736,28.506,290,126,126,38
4-1-20-0.1-50,100,20,1,20,0.1,50,100,62,0.0,3,0.0,0.0,26.690067,26.690,256,131,125,0.0,0,0.0,0.0,26.690067,26.690,254,128,126,0.0,0,0.0,0.0,26.690067,26.690,298,131,123,44,0.0,0,0.0,0.0,26.690067,26.690,298,131,123,44
4-1-20-0.1-90,100,20,1,20,0.1,90,100,62,0.1,10,0.0,0.0,21.903894,21.904,243,131,112,0.0,8,0.0,0.0,21.903894,21.904,234,127,107,0.0,2,0.0,0.0,21.903894,21.904,272,127,107,38,0.0,2,0.0,0.0,21.903894,21.904,277,128,107,42
4-1-20-0.2-10,100,20,1,20,0.2,10,100,62,0.0,0,0.0,0.0,28.465974,28.466,261,132,129,0.0,0,0.0,0.0,28.465974,28.466,255,126,129,0.0,0,0.0,0.0,28.465974,28.466,305,131,126,48,0.0,0,0.0,0.0,28.465974,28.466,290,126,126,38
4-1-20-0.2-50,100,20,1,20,0.2,50,100,62,0.0,0,0.0,0.0,26.670447,26.670,256,132,124,0.0,0,0.0,0.0,26.670447,26.670,253,129,124,0.0,0,0.0,0.0,26.670447,26.670,303,132,123,48,0.0,0,0.0,0.0,26.670447,26.670,294,129,123,42
4-1-20-0.2-90,100,20,1,20,0.2,90,100,62,0.0,0,0.0,0.0,21.902884,21.903,234,127,107,0.0,0,0.0,0.0,21.902884,21.903,233,126,107,0.0,4,0.0,0.0,21.902884,21.903,259,126,107,26,0.0,3,0.0,0.0,21.902884,21.903,259,126,107,26
4-2-20-0.01-10,100,20,2,20,0.01,10,100,62,0.0,0,0.0,0.0,28.541521,28.542,263,133,130,0.0,0,0.0,0.0,28.541521,28.542,257,127,130,0.0,0,0.0,0.0,28.541521,28.542,328,132,126,70,0.0,0,0.0,0.0,28.541521,28.542,313,127,126,60
