,,,,,B&C-B,,,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#ProdSM,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
26-5-20-0.8,600,5,1706,30160,9.8,64,0.0,1.1,206.885980,206.886,0,1,5330,2592,2738,3.7,11,0.0,0.2,206.885980,206.886,0,1,5348,1979,1722,1647
27-5-20-0.8,600,10,1764,32768,109.2,1104,0.0,2.0,278.785548,278.786,0,1,10143,2849,7294,13.4,99,0.0,0.7,278.785548,278.786,0,1,8378,2501,2329,3548
28-5-20-0.8,600,60,1716,33584,TL,42169,0.3,0.6,472.487164,473.775,0,1,14067,3304,10763,253.1,2590,0.0,0.2,472.577840,472.578,0,1,8786,2200,1824,4762
29-5-20-0.8,600,120,1714,28968,TL,50328,0.1,0.3,536.967160,537.528,0,1,8982,2438,6544,35.9,725,0.0,0.0,537.051344,537.051,0,1,5617,1703,1360,2554
30-5-20-0.8,600,200,1570,21010,414.0,4957,0.0,0.1,577.397359,577.397,0,1,3884,1478,2406,29.5,1658,0.0,0.0,577.397359,577.397,0,1,4648,1556,1078,2014
31-5-20-0.8,700,5,2542,64420,33.2,144,0.0,2.7,290.580704,290.581,0,1,8641,3475,5166,10.3,41,0.0,1.2,290.580704,290.581,0,1,7307,2718,2137,2452
32-5-20-0.8,700,10,2218,50474,84.1,370,0.0,1.6,340.812931,340.813,0,1,11763,3664,8099,9.3,33,0.0,0.3,340.812931,340.813,0,1,6709,2564,2087,2058
33-5-20-0.8,700,70,2268,49250,TL,12200,0.3,0.5,581.765679,583.442,0,1,17415,3765,13650,188.8,2500,0.0,0.1,581.924207,581.924,0,1,7673,2560,2195,2918
34-5-20-0.8,700,140,2450,58282,525.4,5011,0.0,0.1,653.348898,653.349,0,1,7145,2273,4872,6.8,46,0.0,0.0,653.348898,653.349,0,1,3575,1655,976,944
35-5-20-0.8,800,5,3424,143422,101.2,175,0.0,3.2,403.506182,403.506,0,1,14220,4562,9658,14.6,47,0.0,1.2,403.506182,403.506,0,1,7304,2747,2617,1940
36-5-20-0.8,800,10,3052,91980,TL,27384,1.3,3.3,426.056794,431.446,0,1,37799,7387,30412,361.6,586,0.0,1.5,427.423707,427.424,0,1,15947,4283,3367,8297
