,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
24-5-20-0.5,500,100,1174,11328,TL,408244,0.0,0.5,430.738,430.891,5869,2519,3350,1640.5,149828,0.0,0.4,430.742,430.742,5258,2139,3119,237.3,5894,0.0,0.2,430.742,430.742,7969,2312,1769,3888,217.0,7650,0.0,0.2,430.743,430.743,6567,2004,1831,2732
25-5-20-0.5,500,167,1258,13962,TL,386061,0.1,0.7,475.690,476.402,3631,1942,1689,TL,376917,0.0,0.5,476.074,476.249,3064,1588,1476,849.0,50686,0.0,0.2,476.075,476.075,7016,2025,1169,3822,928.0,51818,0.0,0.1,476.075,476.075,6010,1742,1172,3096
26-5-20-0.5,600,5,1706,30160,7.8,81,0.0,1.6,214.315,214.315,4196,2379,1817,3.8,44,0.0,1.2,214.315,214.315,4534,2450,2084,7.7,23,0.0,0.7,214.315,214.315,4768,2057,1415,1296,3.5,21,0.0,0.6,214.315,214.315,4627,1992,1681,954
27-5-20-0.5,600,10,1764,32768,750.1,33404,0.0,1.9,290.939,290.939,9675,3520,6155,331.3,12729,0.0,1.7,290.939,290.939,7131,2929,4202,91.5,859,0.0,1.2,290.939,290.939,8491,2794,2649,3048,90.7,793,0.0,1.3,290.939,290.939,7504,2576,2392,2536
28-5-20-0.5,600,60,1716,33584,TL,161666,0.4,0.8,486.991,488.760,6895,3374,3521,TL,145897,0.3,0.7,486.991,488.604,7216,3337,3879,TL,114267,0.3,0.6,486.655,488.374,11391,3483,3092,4816,TL,72020,0.1,0.5,487.129,487.862,11113,3373,2880,4860
29-5-20-0.5,600,120,1714,28968,TL,185260,0.6,0.9,546.118,549.246,6124,3058,3066,TL,184985,0.2,0.5,547.701,549.054,5118,2422,2696,TL,95460,0.2,0.4,547.518,548.825,9400,2901,2187,4312,TL,166565,0.1,0.3,547.933,548.726,8947,2732,2327,3888
30-5-20-0.5,600,200,1570,21010,TL,242574,0.1,0.4,583.085,583.912,4456,2303,2153,TL,243090,0.0,0.3,583.440,583.697,3828,1987,1841,TL,244309,0.1,0.2,583.291,583.769,7749,2339,2432,2978,TL,235573,0.0,0.1,583.478,583.499,5985,2054,1342,2589
31-5-20-0.5,700,5,2542,64420,49.3,696,0.0,3.1,302.452,302.452,6936,3887,3049,36.2,522,0.0,2.9,302.452,302.452,6680,3487,3193,27.8,103,0.0,2.5,302.452,302.452,8569,3455,2226,2888,29.7,102,0.0,2.3,302.452,302.452,8161,3254,2121,2786
32-5-20-0.5,700,10,2218,50474,34.7,414,0.0,0.8,357.832,357.832,6040,3198,2842,27.6,414,0.0,0.8,357.832,357.832,5592,2891,2701,19.8,67,0.0,0.6,357.832,357.832,6086,2637,2110,1339,27.0,88,0.0,0.6,357.832,357.832,6079,2686,2040,1353
33-5-20-0.5,700,70,2268,49250,TL,120983,0.3,0.6,600.308,602.011,7575,3795,3780,TL,116014,0.2,0.5,600.574,601.811,7677,3714,3963,TL,85683,0.2,0.5,600.278,601.432,11728,3939,3405,4384,TL,82688,0.1,0.4,600.609,601.256,10597,3667,3266,3664
