,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,r,R,theta,low p_i (%),#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
7-2-20-0.01-10,200,10,2,20,0.01,10,220,664,0.3,36,0.0,1.1,40.864802,40.865,0,1,1141,374,325,442
7-2-20-0.01-50,200,10,2,20,0.01,50,220,664,0.1,5,0.0,0.0,40.678965,40.679,0,1,763,281,278,204
7-2-20-0.01-90,200,10,2,20,0.01,90,220,664,0.1,0,0.0,0.0,32.134662,32.135,2,2,601,241,250,110
7-2-20-0.1-10,200,10,2,20,0.1,10,220,664,0.3,30,0.0,1.1,40.500434,40.500,0,1,1086,358,338,390
7-2-20-0.1-50,200,10,2,20,0.1,50,220,664,0.1,0,0.0,0.0,40.355207,40.355,0,1,723,273,282,168
7-2-20-0.1-90,200,10,2,20,0.1,90,220,664,0.1,0,0.0,0.0,31.601110,31.601,2,2,570,233,241,96
7-2-20-0.2-10,200,10,2,20,0.2,10,220,664,0.3,25,0.0,0.9,40.153967,40.154,0,1,1049,349,314,386
7-2-20-0.2-50,200,10,2,20,0.2,50,220,664,0.0,0,0.0,0.0,39.995476,39.995,0,1,671,271,266,134
7-2-20-0.2-90,200,10,2,20,0.2,90,220,664,0.1,0,0.0,0.0,31.082156,31.082,1,2,729,260,281,188
8-1-20-0.01-10,200,20,1,20,0.01,10,208,488,0.1,2,0.0,0.0,58.599064,58.599,1,2,744,280,296,168
8-1-20-0.01-50,200,20,1,20,0.01,50,208,488,0.1,0,0.0,0.0,50.342134,50.342,1,2,756,276,310,170
8-1-20-0.01-90,200,20,1,20,0.01,90,208,488,0.1,12,0.0,0.1,35.046217,35.046,1,2,551,251,236,64
8-1-20-0.1-10,200,20,1,20,0.1,10,208,488,0.0,0,0.0,0.0,58.152986,58.153,0,1,672,275,289,108
8-1-20-0.1-50,200,20,1,20,0.1,50,208,488,0.1,8,0.0,0.0,49.832668,49.833,1,2,717,278,287,152
8-1-20-0.1-90,200,20,1,20,0.1,90,208,488,0.1,23,0.0,0.1,34.850736,34.851,1,2,557,251,236,70
8-1-20-0.2-10,200,20,1,20,0.2,10,208,488,0.1,0,0.0,0.0,57.666461,57.666,0,1,705,290,295,120
8-1-20-0.2-50,200,20,1,20,0.2,50,208,488,0.1,17,0.0,0.1,49.282195,49.282,0,1,765,287,310,168
8-1-20-0.2-90,200,20,1,20,0.2,90,208,488,0.1,17,0.0,0.0,34.656785,34.657,0,1,581,264,237,80
8-2-20-0.01-10,200,20,2,20,0.01,10,222,474,0.1,6,0.0,0.0,59.280730,59.281,1,2,895,307,284,304
8-2-20-0.01-50,200,20,2,20,0.01,50,222,474,0.1,3,0.0,0.0,52.813211,52.813,1,2,721,270,285,166
8-2-20-0.01-90,200,20,2,20,0.01,90,222,474,0.1,0,0.0,0.0,39.727547,39.728,0,1,564,266,242,56
8-2-20-0.1-10,200,20,2,20,0.1,10,222,474,0.1,0,0.0,0.0,58.922407,58.922,0,1,849,309,284,256
8-2-20-0.1-50,200,20,2,20,0.1,50,222,474,0.1,3,0.0,0.0,52.371129,52.371,1,2,742,286,290,166
8-2-20-0.1-90,200,20,2,20,0.1,90,222,474,0.1,0,0.0,0.0,39.687840,39.688,0,1,554,264,240,50
8-2-20-0.2-10,200,20,2,20,0.2,10,222,474,0.1,0,0.0,0.0,58.604756,58.605,0,1,780,288,276,216
8-2-20-0.2-50,200,20,2,20,0.2,50,222,474,0.1,0,0.0,0.0,51.973867,51.974,0,1,682,260,276,146
8-2-20-0.2-90,200,20,2,20,0.2,90,222,474,0.0,0,0.0,0.0,39.658821,39.659,0,1,528,263,231,34
9-1-20-0.01-10,200,40,1,20,0.01,10,214,590,0.5,145,0.0,0.3,94.505690,94.506,2,2,1305,369,370,566
9-1-20-0.01-50,200,40,1,20,0.01,50,214,590,0.2,35,0.0,0.2,84.519440,84.519,2,2,982,298,366,318
9-1-20-0.01-90,200,40,1,20,0.01,90,214,590,0.5,204,0.0,0.3,59.134807,59.135,2,2,888,295,281,312
9-1-20-0.1-10,200,40,1,20,0.1,10,214,590,0.2,16,0.0,0.1,93.540584,93.541,1,2,1295,381,366,548
9-1-20-0.1-50,200,40,1,20,0.1,50,214,590,0.2,30,0.0,0.2,83.642869,83.643,1,2,872,289,333,250
9-1-20-0.1-90,200,40,1,20,0.1,90,214,590,0.1,22,0.0,0.0,58.859597,58.860,1,2,790,283,281,226
9-1-20-0.2-10,200,40,1,20,0.2,10,214,590,0.1,6,0.0,0.0,92.492960,92.493,1,2,1034,330,324,380
9-1-20-0.2-50,200,40,1,20,0.2,50,214,590,0.1,8,0.0,0.1,82.750890,82.751,1,2,908,309,319,280
9-1-20-0.2-90,200,40,1,20,0.2,90,214,590,0.1,13,0.0,0.0,58.650130,58.650,0,1,749,291,244,214
9-2-20-0.01-10,200,40,2,20,0.01,10,228,576,0.2,12,0.0,0.1,96.657542,96.658,1,2,1181,354,343,484
9-2-20-0.01-50,200,40,2,20,0.01,50,228,576,0.3,54,0.0,0.2,86.858861,86.859,1,2,1040,310,336,394
9-2-20-0.01-90,200,40,2,20,0.01,90,228,576,1.9,978,0.0,0.2,63.842828,63.843,1,2,962,317,261,384
9-2-20-0.1-10,200,40,2,20,0.1,10,228,576,0.2,5,0.0,0.0,95.771865,95.772,1,2,1015,328,333,354
9-2-20-0.1-50,200,40,2,20,0.1,50,228,576,0.2,27,0.0,0.2,86.080382,86.080,1,2,980,313,311,356
9-2-20-0.1-90,200,40,2,20,0.1,90,228,576,0.2,51,0.0,0.0,63.721395,63.721,0,1,800,296,246,258
9-2-20-0.2-10,200,40,2,20,0.2,10,228,576,0.1,4,0.0,0.0,94.787780,94.788,1,2,933,328,327,278
9-2-20-0.2-50,200,40,2,20,0.2,50,228,576,0.1,24,0.0,0.2,85.340490,85.340,0,1,876,323,289,264
9-2-20-0.2-90,200,40,2,20,0.2,90,228,576,0.1,0,0.0,0.0,63.595483,63.595,0,1,730,297,239,194
10-1-20-0.01-10,200,67,1,20,0.01,10,214,1014,4.6,932,0.0,0.5,143.279687,143.280,7,3,2582,509,659,1414
10-1-20-0.01-50,200,67,1,20,0.01,50,214,1014,2.7,1067,0.0,0.2,134.676138,134.676,7,3,1030,317,397,316
10-1-20-0.01-90,200,67,1,20,0.01,90,214,1014,2.8,1438,0.0,0.1,105.911306,105.911,4,3,1402,312,290,800
10-1-20-0.1-10,200,67,1,20,0.1,10,214,1014,6.1,3015,0.0,0.3,140.528115,140.528,6,3,2047,472,497,1078
10-1-20-0.1-50,200,67,1,20,0.1,50,214,1014,1.8,512,0.0,0.1,132.104533,132.105,7,3,1256,358,424,474
10-1-20-0.1-90,200,67,1,20,0.1,90,214,1014,0.7,167,0.0,0.1,104.169361,104.169,4,3,1295,304,303,688
10-1-20-0.2-10,200,67,1,20,0.2,10,214,1014,5.2,1862,0.0,0.2,137.759237,137.759,4,3,1890,433,451,1006
10-1-20-0.2-50,200,67,1,20,0.2,50,214,1014,0.5,99,0.0,0.1,129.284700,129.285,6,3,1265,360,401,504
10-1-20-0.2-90,200,67,1,20,0.2,90,214,1014,1.3,468,0.0,0.3,102.245536,102.246,4,3,1393,327,306,760
10-2-20-0.01-10,200,67,2,20,0.01,10,246,982,5.4,1292,0.0,0.5,146.111648,146.112,7,3,2404,483,599,1322
10-2-20-0.01-50,200,67,2,20,0.01,50,246,982,1.2,347,0.0,0.3,138.657593,138.658,7,3,1379,362,417,600
10-2-20-0.01-90,200,67,2,20,0.01,90,246,982,1.4,609,0.0,0.1,114.205787,114.206,4,3,1210,302,280,628
10-2-20-0.1-10,200,67,2,20,0.1,10,246,982,9.5,4768,0.0,0.4,143.583147,143.583,4,3,2167,469,518,1180
10-2-20-0.1-50,200,67,2,20,0.1,50,246,982,2.6,1575,0.0,0.1,136.320858,136.321,7,3,1292,360,388,544
10-2-20-0.1-90,200,67,2,20,0.1,90,246,982,0.4,73,0.0,0.1,112.562482,112.562,4,3,1126,295,273,558
10-2-20-0.2-10,200,67,2,20,0.2,10,246,982,2.3,785,0.0,0.3,141.144226,141.144,1,3,1750,411,413,926
10-2-20-0.2-50,200,67,2,20,0.2,50,246,982,1.9,638,0.0,0.1,133.919881,133.920,5,3,1437,382,479,576
10-2-20-0.2-90,200,67,2,20,0.2,90,246,982,1.8,653,0.0,0.2,110.821753,110.822,3,3,1308,306,322,680
11-1-20-0.01-10,300,5,1,20,0.01,10,350,2542,0.3,7,0.0,0.1,57.662511,57.663,0,1,1245,430,492,323
11-1-20-0.01-50,300,5,1,20,0.01,50,350,2542,0.3,9,0.0,0.3,54.750714,54.751,1,2,1227,455,456,316
11-1-20-0.01-90,300,5,1,20,0.01,90,350,2542,0.1,0,0.0,0.0,50.124202,50.124,2,2,800,309,373,118
11-1-20-0.1-10,300,5,1,20,0.1,10,350,2542,0.2,0,0.0,0.0,56.984725,56.985,0,1,1196,417,457,322
11-1-20-0.1-50,300,5,1,20,0.1,50,350,2542,0.2,1,0.0,0.0,53.964286,53.964,0,1,1171,427,387,357
11-1-20-0.1-90,300,5,1,20,0.1,90,350,2542,0.1,0,0.0,0.0,48.616591,48.617,2,2,873,329,396,148
11-1-20-0.2-10,300,5,1,20,0.2,10,350,2542,0.2,0,0.0,0.0,56.231629,56.232,0,1,1159,422,442,295
11-1-20-0.2-50,300,5,1,20,0.2,50,350,2542,0.2,0,0.0,0.0,53.201092,53.201,0,1,1145,425,396,324
11-1-20-0.2-90,300,5,1,20,0.2,90,350,2542,0.2,3,0.0,0.0,46.961338,46.961,1,2,845,318,383,144
11-2-20-0.01-10,300,5,2,20,0.01,10,390,2502,0.3,3,0.0,0.0,58.080063,58.080,0,1,1305,448,459,398
11-2-20-0.01-50,300,5,2,20,0.01,50,390,2502,0.3,10,0.0,0.2,54.750714,54.751,1,2,1223,447,494,282
11-2-20-0.01-90,300,5,2,20,0.01,90,390,2502,0.1,0,0.0,0.0,50.699464,50.699,2,2,796,308,372,116
11-2-20-0.1-10,300,5,2,20,0.1,10,390,2502,0.1,0,0.0,0.0,57.433184,57.433,0,1,1115,415,420,280
11-2-20-0.1-50,300,5,2,20,0.1,50,390,2502,0.2,2,0.0,0.0,53.964286,53.964,0,1,1146,432,387,327
11-2-20-0.1-90,300,5,2,20,0.1,90,390,2502,0.1,0,0.0,0.0,49.191853,49.192,2,2,877,328,395,154
11-2-20-0.2-10,300,5,2,20,0.2,10,390,2502,0.1,0,0.0,0.0,56.714429,56.714,0,1,1152,411,425,316
11-2-20-0.2-50,300,5,2,20,0.2,50,390,2502,0.2,0,0.0,0.0,53.201092,53.201,0,1,1208,445,395,368
11-2-20-0.2-90,300,5,2,20,0.2,90,390,2502,0.2,3,0.0,0.0,47.536600,47.537,1,2,825,317,382,126
12-1-20-0.01-10,300,10,1,20,0.01,10,336,1792,0.2,0,0.0,0.0,68.165912,68.166,1,2,1259,428,475,356
12-1-20-0.01-50,300,10,1,20,0.01,50,336,1792,0.3,15,0.0,0.3,56.800388,56.800,0,1,1351,479,444,428
12-1-20-0.01-90,300,10,1,20,0.01,90,336,1792,0.1,0,0.0,0.0,44.292502,44.293,2,2,1044,383,417,244
12-1-20-0.1-10,300,10,1,20,0.1,10,336,1792,0.3,5,0.0,0.1,67.526346,67.526,0,1,1478,492,454,532
12-1-20-0.1-50,300,10,1,20,0.1,50,336,1792,0.3,13,0.0,0.2,56.501436,56.501,0,1,1266,448,444,374
12-1-20-0.1-90,300,10,1,20,0.1,90,336,1792,0.1,0,0.0,0.0,43.786853,43.787,1,2,978,368,412,198
12-1-20-0.2-10,300,10,1,20,0.2,10,336,1792,0.3,0,0.0,0.0,67.114994,67.115,0,1,1447,472,567,408
